2025-09-12 14:19:59,419 - INFO - Event:DATABASE_INIT | Details:SQLite database initialized at /home/silpc-011/Desktop/adwaith/biometricservice/database/attendance_queue.db | Status:SYSTEM
2025-09-12 14:19:59,420 - INFO - Event:APPLICATION_STARTING | Details:Biometric server application starting | Status:SYSTEM
2025-09-12 14:19:59,421 - INFO - Event:SERVER_STARTING | Details:WebSocket server starting on 0.0.0.0:8190 | Status:SYSTEM
2025-09-12 14:19:59,438 - INFO - Event:RETRY_TASK_STARTED | Details:Queue retry task started | Status:SYSTEM
2025-09-12 14:19:59,438 - INFO - Event:SERVER_STARTED | Details:Server listening on 0.0.0.0:8190 | Status:SYSTEM
2025-09-12 14:19:59,469 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:51358 | Status:SYSTEM
2025-09-12 14:19:59,502 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:51358 | Status:SYSTEM
2025-09-12 14:19:59,551 - INFO - Event:PROCESSING_BATCH | Details:Processing 10 records from device ZXRC21016024 | Status:SYSTEM
2025-09-12 14:20:04,361 - INFO - Event:APPLICATION_STOPPED | Details:Server stopped by user | Status:SYSTEM
2025-09-12 14:20:04,361 - INFO - Event:APPLICATION_SHUTDOWN | Details:Application shutting down | Status:SYSTEM
2025-09-12 14:20:04,378 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:20:58,032 - INFO - Event:DATABASE_INIT | Details:SQLite database initialized at /home/silpc-011/Desktop/adwaith/biometricservice/database/attendance_queue.db | Status:SYSTEM
2025-09-12 14:20:58,033 - INFO - Event:APPLICATION_STARTING | Details:Biometric server application starting | Status:SYSTEM
2025-09-12 14:20:58,033 - INFO - Event:SERVER_STARTING | Details:WebSocket server starting on 0.0.0.0:8190 | Status:SYSTEM
2025-09-12 14:20:58,046 - INFO - Event:RETRY_TASK_STARTED | Details:Queue retry task started | Status:SYSTEM
2025-09-12 14:20:58,046 - INFO - Event:SERVER_STARTED | Details:Server listening on 0.0.0.0:8190 | Status:SYSTEM
2025-09-12 14:20:58,082 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:56304 | Status:SYSTEM
2025-09-12 14:20:58,145 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:56304 | Status:SYSTEM
2025-09-12 14:21:06,433 - INFO - Event:PROCESSING_BATCH | Details:Processing 1 records from device ZXRC21016024 | Status:SYSTEM
2025-09-12 14:21:08,521 - INFO - Event:QUEUE_SIZE | Details:Current queue size: 1 | Status:SYSTEM
2025-09-12 14:21:09,118 - INFO - Event:PROCESSING_BATCH | Details:Processing 2 records from device ZXRC21016024 | Status:SYSTEM
2025-09-12 14:21:11,194 - INFO - Event:QUEUE_SIZE | Details:Current queue size: 2 | Status:SYSTEM
2025-09-12 14:21:13,271 - INFO - Event:QUEUE_SIZE | Details:Current queue size: 3 | Status:SYSTEM
2025-09-12 14:21:14,188 - INFO - Event:PROCESSING_BATCH | Details:Processing 2 records from device ZXRC21016024 | Status:SYSTEM
2025-09-12 14:21:16,271 - INFO - Event:QUEUE_SIZE | Details:Current queue size: 4 | Status:SYSTEM
2025-09-12 14:21:18,347 - INFO - Event:QUEUE_SIZE | Details:Current queue size: 5 | Status:SYSTEM
2025-09-12 14:21:21,887 - INFO - Event:PROCESSING_BATCH | Details:Processing 3 records from device ZXRC21016024 | Status:SYSTEM
2025-09-12 14:21:23,971 - INFO - Event:QUEUE_SIZE | Details:Current queue size: 6 | Status:SYSTEM
2025-09-12 14:21:26,049 - INFO - Event:QUEUE_SIZE | Details:Current queue size: 7 | Status:SYSTEM
2025-09-12 14:21:28,126 - INFO - Event:QUEUE_SIZE | Details:Current queue size: 8 | Status:SYSTEM
2025-09-12 14:21:38,451 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:56304 | Status:SYSTEM
2025-09-12 14:21:38,452 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:21:38,582 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:56306 | Status:SYSTEM
2025-09-12 14:21:38,609 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:56306 | Status:SYSTEM
2025-09-12 14:21:38,647 - INFO - Event:PROCESSING_BATCH | Details:Processing 5 records from device ZXRC21016024 | Status:SYSTEM
2025-09-12 14:21:40,733 - INFO - Event:QUEUE_SIZE | Details:Current queue size: 9 | Status:SYSTEM
2025-09-12 14:21:42,825 - INFO - Event:QUEUE_SIZE | Details:Current queue size: 10 | Status:SYSTEM
2025-09-12 14:21:44,903 - INFO - Event:QUEUE_SIZE | Details:Current queue size: 11 | Status:SYSTEM
2025-09-12 14:21:46,982 - INFO - Event:QUEUE_SIZE | Details:Current queue size: 12 | Status:SYSTEM
2025-09-12 14:21:49,044 - INFO - Event:QUEUE_SIZE | Details:Current queue size: 13 | Status:SYSTEM
2025-09-12 14:22:09,388 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:56306 | Status:SYSTEM
2025-09-12 14:22:09,389 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:22:09,456 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:56308 | Status:SYSTEM
2025-09-12 14:22:09,490 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:56308 | Status:SYSTEM
2025-09-12 14:22:40,194 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:56308 | Status:SYSTEM
2025-09-12 14:22:40,195 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:22:40,255 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:56310 | Status:SYSTEM
2025-09-12 14:22:40,636 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:56310 | Status:SYSTEM
2025-09-12 14:23:00,425 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:56310 | Status:SYSTEM
